CCA,2000_POP,2010_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MED_INC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV
Albany Park,57655,51542,-6113,16850,Health Care,Retail Trade,Accommodation and Food Service,Manufacturing,Education,2263,1783,1761,1564,1379,5163,Retail Trade,Health Care,Manufacturing,Administration,Education,1058,922,628,486,401,Chicago,Skokie,Evanston,Des Plaines,Elk Grove Village,9930,415,333,271,270,Chicago,Skokie,Des Plaines,Park Ridge,Evanston,2832,126,55,54,52,10678,0.482425578,1229.165404,303.4170426,24.68480171,295.0551528,24.00451167,34.16187549,2.779274082,75.53865496,6.145524006,54.35986013,4.422501639,19.92993761,1.621420319,414.7368117,33.7413346,0,0,25.29318133,2.05775246,6.672887139,0.542879511,54018,14769,15060,12305,7443,3201,1240,32.39945711,15392,27953,2147,7324,1202,52813,42355,30607,27198,3409,11748,1181,25508,12111,2595,9103,1513,186,35202,24844,9729,4367,3926,3032,2036,1739,1509,50085.24833,16609,6198,10411,1404,18013,3226,168,3305,3928,7347,5.365877081,793,1655,3822,11743,n/a,4504,7616,4409,1165,319,920,3048,1559,671,252041.9426
Archer Heights,12644,13393,749,4620,Manufacturing,Retail Trade,Administration,Accommodation and Food Service,Health Care,728,522,488,460,443,8404,Manufacturing,Transportation,Administration,Retail Trade,Wholesale Trade,2921,1787,1004,653,650,Chicago,Bedford Park,Cicero town,Bridgeview,Alsip,2585,100,58,51,39,Chicago,Cicero town,Oak Lawn,Burbank,Berwyn,3886,205,160,144,116,16297,2.295252369,1283.809214,168.603969,13.13310164,68.81167134,5.359960855,18.26305598,1.42256776,45.39025193,3.535591692,34.65081461,2.699062619,344.6775902,26.84803835,558.5992065,43.51107628,0,0,12.29543917,0.957731027,32.51721563,2.532869781,14106,4513,3415,2840,2068,921,350,30.41773013,2906,10708,205,203,84,14094,10374,6993,5830,1163,3381,94,5575,3315,1072,852,318,17,8344,5550,789,824,1279,784,363,386,166,43759.61538,3802,2280,1523,378,4180,2004,76,1138,718,183,5.569655725,12,745,1940,1483,n/a,290,1502,1669,431,288,485,1521,228,45,198606.9277
Armour Square,12032,13391,1359,4599,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Administration,945,553,412,409,307,3872,Accommodation and Food Service,Administration,Health Care,Retail Trade,Manufacturing,1325,521,492,323,286,Chicago,Des Plaines,Cicero town,Elk Grove Village,Evanston,2974,46,36,34,34,Chicago,Oak Lawn,Orland Park,Skokie,Tinley Park,2900,37,28,26,23,7910,1.558752465,637.4266997,56.41081934,8.849773529,78.58521482,12.32851006,9.812171465,1.539341146,90.28909579,14.16462408,11.24932564,1.764803019,18.04605334,2.831078985,343.6483913,53.91182883,0,0,15.01924855,2.356231478,14.36637948,2.253808867,14176,2955,3080,2768,2849,1472,1052,41.29036561,1624,517,1670,9855,510,14168,11962,7511,6326,1185,4451,331,5855,2039,1483,1447,792,94,10044,6725,2193,2674,943,769,406,303,148,24101.0274,5244,1965,3278,478,5721,389,893,762,1161,2508,4.840924541,934,1983,1045,1760,n/a,1530,1707,1926,398,159,303,990,456,217,255531.6092
Ashburn,39584,41081,1497,15541,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2202,2022,1827,1359,1337,7471,Public Administration,Retail Trade,Health Care,Utilities,Accommodation and Food Service,2573,1114,832,733,421,Chicago,Bedford Park,Oak Lawn,Alsip,Bridgeview,9673,312,244,143,143,Chicago,Oak Lawn,Tinley Park,Orland Park,Burbank,3292,154,89,81,73,17792,6.474023854,3109.75388,1267.913641,40.772154,40.08878115,1.289130352,10.0197072,0.322202579,132.4053476,4.257743626,147.2488758,4.735065265,104.5748047,3.36280004,1064.249375,34.22294548,0,0,259.8676675,8.356534875,83.38567988,2.681423775,42821,12864,8428,8940,8517,2849,1223,35.21601563,6814,14699,20940,156,212,42288,33035,21724,18983,2741,11311,275,18042,13524,2134,2099,214,71,26777,22143,5299,2192,2552,2481,2135,2488,979,67286.12167,12827,11060,1767,573,13400,11876,82,205,436,788,6.469570234,222,2184,10335,659,n/a,242,2279,7456,2593,830,3807,6663,572,18,171042.9897
Auburn Gresham,55928,48743,-7185,13475,Health Care,Education,Retail Trade,Administration,Transportation,2733,1708,1196,1183,1097,2701,Retail Trade,Accommodation and Food Service,Transportation,Health Care,Manufacturing,655,375,352,219,188,Chicago,Oak Lawn,Bedford Park,Rolling Meadows,Schaumburg,9648,130,111,95,91,Chicago,Oak Lawn,Calumet City,Orland Park,Evergreen Park,1678,40,33,26,24,9968,1.259252363,2411.97828,801.5894952,33.2336946,318.6968128,13.21308801,22.26967395,0.923294962,92.43688389,3.832409465,106.6254839,4.420665178,57.72949206,2.393449914,834.4356593,34.59548812,0,0,59.01160297,2.446605903,119.1831756,4.94130385,48934,14355,8680,9236,9002,5781,1880,37.54878315,127,653,47594,118,442,48847,38265,21283,15210,6047,16982,390,14488,8189,1056,4763,361,119,31365,25453,4010,7574,4401,2678,1412,870,380,29167.30769,17315,7800,9515,3311,20626,8529,593,4061,3859,3528,5.88,634,1692,8191,10109,n/a,3958,6593,6986,2192,897,4314,3187,266,33,137965.1163
Austin,117527,98514,-19013,31388,Health Care,Retail Trade,Administration,Education,Manufacturing,5925,3358,3036,2950,2384,15958,Health Care,Manufacturing,Retail Trade,Public Administration,Administration,4191,2403,2073,1349,939,Chicago,Oak Park,Melrose Park,Des Plaines,Schaumburg,17519,756,384,353,349,Chicago,Cicero town,Berwyn,Oak Park,Maywood,8331,357,231,215,129,10431,1.703290908,4574.26539,964.350138,21.0820767,795.1978621,17.38416542,62.58868716,1.368278441,231.1541003,5.053360061,184.0717346,4.02407204,502.8442191,10.99289561,1464.868582,32.02412753,0,0,199.7020962,4.365774155,169.4879709,3.705250055,97997,29912,20081,18864,18104,8444,2592,34.13799062,4456,9253,82991,446,851,96706,75051,41624,32238,9379,33427,870,30519,18516,2330,8499,645,529,60933,46016,6865,13086,8964,4450,2657,1954,948,31912.19614,32059,12753,19306,6130,38189,9650,609,11606,7367,8842,5.700568182,1086,3196,10580,23327,n/a,7798,13924,11379,3142,1946,3949,6909,1747,148,187469.5617
Avalon Park,11147,10185,-962,3317,Health Care,Education,Public Administration,Retail Trade,Administration,678,476,354,283,266,2417,Health Care,Construction,Retail Trade,Accommodation and Food Service,Finance,1334,298,230,220,103,Chicago,Evanston,Oak Lawn,Schaumburg,Oak Brook,2342,24,24,22,21,Chicago,Calumet City,South Holland,Lansing,Riverdale,1611,34,21,20,18,13331,2.526221468,800.1119601,304.540354,38.06221744,27.50519979,3.437668872,2.008937158,0.251082006,44.84282033,5.604568181,42.62792676,5.327745227,12.59788038,1.574514694,316.7689897,39.59058301,0,0,28.04818615,3.505532669,21.17166581,2.646087906,9925,2009,1981,1978,2070,1396,492,43.18785358,192,35,9596,43,60,9920,8268,5030,3942,1088,3237,150,3684,2225,412,980,39,28,7326,6603,1654,1214,934,491,508,617,163,45896.0177,3927,2614,1311,526,4451,2924,226,432,435,434,6.411717496,221,298,1985,1947,n/a,658,1094,1737,742,220,996,1435,115,68,166247.3795
Avondale,43083,39262,-3821,14324,Health Care,Accommodation and Food Service,Manufacturing,Retail Trade,Administration,1535,1529,1510,1474,1390,11898,Administration,Manufacturing,Retail Trade,Utilities,Accommodation and Food Service,3877,2256,1878,920,557,Chicago,Skokie,Evanston,Des Plaines,Elk Grove Village,8674,200,198,190,172,Chicago,Cicero town,Skokie,Melrose Park,Berwyn,5503,208,115,103,97,12721,0.208436848,1269.302494,160.794463,12.66793879,312.460994,24.61674782,34.21585093,2.695641984,100.0941485,7.885760013,24.98077249,1.968070859,135.1840403,10.65026193,478.8565799,37.72596227,0,0,8.819134561,0.694801641,13.89651014,1.094814688,40262,10277,12708,8544,5583,2503,647,31.58532828,11699,25639,794,1268,862,40204,31959,22247,20123,2124,9712,750,19095,10733,2041,4956,1101,264,26182,19682,6109,3310,4543,2542,1309,1274,729,44727.12238,13707,5411,8296,1495,15202,2552,537,4516,4521,2998,5.513439731,987,886,1780,11549,n/a,2674,7043,4062,888,535,626,2213,2286,286,293384.5391
Belmont Cragin,78144,78743,599,25062,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,4026,3012,2859,2561,2348,9217,Retail Trade,Administration,Manufacturing,Accommodation and Food Service,Health Care,2620,2087,993,924,574,Chicago,Elk Grove Village,Des Plaines,Skokie,Franklin Park,12606,660,456,391,341,Chicago,Cicero town,Berwyn,Skokie,Elmwood Park,4371,188,110,95,94,13137,0.85550637,2504.58795,716.3561768,28.6017577,379.1397907,15.13781102,49.18059872,1.963620352,242.493455,9.681970043,135.0271519,5.391192268,132.7862092,5.30171876,775.7019832,30.97124153,0,0,64.47552704,2.574296784,9.427057168,0.376391541,78229,25836,18674,16537,11230,4329,1623,30.73850937,11640,61488,3321,937,843,77932,57718,39538,33285,6253,18179,570,31724,20352,5388,4751,982,251,46205,28495,4976,5504,6927,4272,2045,2172,566,42490.18838,21485,10792,10694,2521,24006,8743,328,6159,5759,2910,5.601241976,861,1975,8070,13100,n/a,3580,9929,6841,1958,1699,2086,6550,2067,89,218117.7261
Beverly,21992,20034,-1958,10441,Education,Public Administration,Health Care,Retail Trade,Finance,1940,1529,1341,796,672,3702,Administration,Health Care,Retail Trade,Accommodation and Food Service,Education,761,701,446,431,416,Chicago,Evergreen Park,Oak Lawn,Blue Island,Oak Brook,6307,211,176,74,66,Chicago,Oak Lawn,Evergreen Park,Orland Park,Blue Island,1854,115,89,65,61,16986,11.79698832,2038.101903,1043.965831,51.22245505,58.82863718,2.886442385,10.10255934,0.495684702,66.50576275,3.263122548,43.94846432,2.156342833,0,0,548.9551807,26.93462873,0,0,257.9797647,12.65784426,7.815702824,0.383479492,21762,6303,2735,4818,4977,2219,710,41.40754597,12157,1304,7792,47,462,21739,16585,11195,10335,860,5390,529,9556,6760,668,1796,274,58,14495,14105,8099,717,1088,1273,1259,1643,1816,91282.7641,7796,6418,1378,497,8293,6486,132,432,137,1106,7.280157031,164,246,3773,4110,n/a,776,1494,3220,1995,808,692,2468,2363,895,302987.8049
Bridgeport,33694,31977,-1717,11805,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1681,1293,1078,1061,1059,5094,Manufacturing,Transportation,Accommodation and Food Service,Construction,Wholesale Trade,1820,435,421,413,385,Chicago,Des Plaines,Elk Grove Village,Evanston,Naperville,8557,103,94,73,73,Chicago,Cicero town,Berwyn,Oak Lawn,Burbank,2919,86,57,53,50,10963,1.29384985,1338.1945,238.0105981,17.7859495,225.290467,16.83540524,31.47252188,2.351864536,56.73188591,4.239434992,32.67399266,2.441647507,139.6054685,10.432375,491.0940713,36.69825807,0,0,43.52151267,3.25225613,79.79398245,5.962809025,32583,7760,8458,6391,6631,2424,919,35.18396753,10560,8980,753,11402,888,32550,26663,18538,15781,2757,8125,366,15051,8014,2305,3283,1280,169,21814,16632,5084,3699,3139,2054,1405,1080,664,42572.76507,12040,5637,6404,1753,13794,3864,513,3560,3587,2203,5.233277592,1539,1685,1816,8753,n/a,2129,5543,4456,1163,504,831,2567,1655,583,271205.3571
Brighton Park,44912,45368,456,11765,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,2078,1386,1268,1226,1080,5135,Manufacturing,Wholesale Trade,Administration,Retail Trade,Transportation,1174,941,868,756,360,Chicago,Bedford Park,Cicero town,Elk Grove Village,Bridgeview,6883,198,141,104,98,Chicago,Cicero town,Oak Lawn,Berwyn,Burbank,2816,122,90,62,59,13066,0.176141938,1742.265699,246.9997481,14.17692767,303.483701,17.41891039,27.30581295,1.567258826,79.59527452,4.568492311,37.81628462,2.170523396,275.2596348,15.79894702,705.4129841,40.48825528,0,0,8.008578121,0.459664569,58.38368123,3.351020527,43567,15194,10352,9508,5833,1968,712,29.22536232,3425,36267,744,3108,23,43469,31249,20315,17308,2994,10934,264,16476,10232,2551,2810,781,102,24699,13331,2074,3456,4609,1922,850,675,208,36517.27862,11720,5424,6296,2075,13795,3534,138,5866,3606,613,5.367422174,424,580,2768,10023,n/a,1117,5985,4875,1133,685,1900,3067,389,68,177386.3636
Burnside,3294,2916,-378,821,Health Care,Education,Retail Trade,Public Administration,Administration,170,97,84,79,68,642,Health Care,Manufacturing,Retail Trade,Other Service,Wholesale Trade,232,183,76,70,43,Chicago,Calumet City,Bedford Park,Arlington Heights,Bridgeview,586,8,7,6,6,Chicago,Dolton,Calumet City,Cicero town,South Holland,358,14,10,9,9,13235,2.556215667,390.1756487,67.86110364,17.39244975,14.22577233,3.645991844,1.649775154,0.422828836,14.6036981,3.742852264,7.372760182,1.889600288,118.2682688,30.31154538,128.98549,33.05831372,0,0,8.325256009,2.13372004,28.88352449,7.402697884,2837,913,424,379,650,315,156,38.35588235,18,0,2819,0,0,2837,2159,1049,839,210,1110,0,809,513,32,264,0,0,1761,1292,195,542,158,183,28,16,35,18685.56701,962,478,484,309,1271,630,32,245,149,205,5.646126761,213,184,429,445,n/a,289,285,463,182,52,366,99,13,0,122142.8571
Calumet Heights,15974,13812,-2162,4529,Health Care,Education,Public Administration,Retail Trade,Administration,780,750,490,356,336,2361,Health Care,Accommodation and Food Service,Retail Trade,Transportation,Other Service,1267,348,224,109,97,Chicago,Oak Lawn,Calumet City,Harvey,Lansing,3414,44,32,24,23,Chicago,Oak Lawn,Calumet City,Orland Park,Evergreen Park,1023,45,42,39,24,13627,1.348199429,1120.900755,436.4703,38.9392458,50.07999342,4.467834749,3.942903448,0.351762048,37.47278059,3.343095313,29.87128958,2.664936165,9.908695151,0.883993976,462.3443331,41.24757087,0,0,21.08344646,1.880937842,69.72701286,6.220623242,13854,3148,1579,3083,2756,2453,835,46.22395922,217,689,12829,13,106,13849,11402,6368,4979,1389,5034,150,4609,3058,404,1051,76,20,10087,9063,3008,1091,1376,1049,883,724,363,55702.47934,5486,4272,1214,609,6095,4555,151,629,451,264,6.453431373,148,376,4057,1514,n/a,343,1671,2817,1018,246,1579,2336,292,65,167191.358
Chatham,37275,31028,-6247,9549,Health Care,Education,Public Administration,Administration,Retail Trade,1987,1324,870,811,804,6035,Retail Trade,Education,Transportation,Finance,Health Care,1661,1393,768,656,459,Chicago,Oak Lawn,Rolling Meadows,Bedford Park,Evanston,7042,81,67,63,60,Chicago,South Holland,Calumet City,Dolton,Oak Lawn,3371,94,84,68,61,9995,1.25856841,1889.83011,528.613909,27.97150422,255.9515183,13.5436258,17.77335943,0.940473926,165.4829132,8.756496805,68.76871027,3.638883194,47.0302936,2.48859902,688.7540304,36.44528822,0,0,34.88748787,1.84606477,82.56788797,4.369064051,31924,8315,5824,6110,6755,3296,1623,39.67307692,169,126,31244,28,356,31892,25568,14991,11312,3679,10578,521,10409,5686,686,3820,143,74,21595,18715,5243,5746,3546,2196,1047,761,409,31976.0274,13705,5095,8612,3136,16843,5203,619,1699,3734,5568,5.367813268,357,1304,8371,6811,n/a,5133,5499,4653,1233,325,2562,2228,256,49,149395.1613
Chicago Lawn,61412,55628,-5784,15228,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,2365,1827,1624,1616,1297,6929,Retail Trade,Manufacturing,Health Care,Accommodation and Food Service,Other Service,1860,1840,1695,261,254,Chicago,Bedford Park,Cicero town,Oak Lawn,Oak Brook,9237,295,170,147,132,Chicago,Oak Lawn,Burbank,Orland Park,Tinley Park,3237,223,116,114,82,12000,4.843539983,2256.195093,675.1320093,29.92347654,254.8777575,11.29679602,34.36921975,1.523326589,105.5816126,4.679631338,65.49579962,2.90293157,54.55941635,2.418204726,708.2770539,31.39254474,0,0,308.4210747,13.66996479,49.48114892,2.193123683,55598,20652,12016,10803,8366,2992,769,29.02461283,1934,24409,28451,448,356,55349,39411,23703,19041,4655,15708,550,17954,10573,3170,3675,491,45,30769,21206,2826,5602,5075,2362,1428,883,236,33981.25509,15586,6992,8594,3340,18926,8223,200,3995,3135,3335,5.829510366,316,1849,10670,6091,n/a,3362,5858,6514,2046,1146,3998,2730,198,66,134824.6675
Clearing,22331,23139,808,10010,Manufacturing,Public Administration,Education,Health Care,Retail Trade,1111,1090,1047,1006,969,3075,Manufacturing,Wholesale Trade,Professional,Accommodation and Food Service,Retail Trade,797,488,395,258,245,Chicago,Bedford Park,Cicero town,Bridgeview,Oak Lawn,5389,245,108,105,95,Chicago,Oak Lawn,Burbank,Orland Park,Bridgeview,1200,95,66,63,39,15157,1.627991412,1633.27543,515.7183198,31.57571039,76.67303684,4.694433983,11.23025145,0.687590791,44.63556165,2.732886372,19.76116492,1.209910132,133.6198616,8.181097879,782.3026309,47.89777746,0,0,32.78988298,2.007615027,16.54472025,1.012977967,23399,6245,5558,4489,4145,1868,1094,34.65722834,12250,10554,147,300,148,23389,18204,12878,11513,1365,5326,152,11085,7637,1408,1484,498,58,15769,13030,2795,1746,1725,1766,1303,1403,419,57734.20479,8362,6255,2107,760,9122,5405,561,486,820,1829,5.794824399,325,1973,5754,1070,n/a,935,2481,4283,1072,351,1508,4242,449,56,196587.7915
Douglas,26470,18238,-8232,5953,Health Care,Education,Administration,Public Administration,Retail Trade,1099,926,459,453,427,23876,Public Administration,Education,Health Care,Administration,Accommodation and Food Service,17096,2172,1183,687,649,Chicago,Evanston,Schaumburg,Oak Brook,Rolling Meadows,4557,59,35,31,31,Chicago,Oak Park,Evanston,Oak Lawn,Calumet City,21174,112,83,72,52,11047,5.069477417,1049.129881,69.73264622,6.646712429,161.7658946,15.4190532,3.566561911,0.339954278,53.6071738,5.109679435,199.9092811,19.05476954,0.811401883,0.077340461,309.2617729,29.47793008,0,0,142.5824326,13.59054156,107.8927164,10.28401901,19074,4056,5759,3378,3202,1768,911,33.79700405,2279,508,13583,2452,252,16519,16466,9522,7630,1892,6944,323,7025,3312,475,2249,943,46,12191,10477,4753,3902,1925,1610,669,553,327,33574.76636,8986,1700,7286,1601,10587,666,725,270,477,8425,3.93825441,1039,2605,5420,1523,n/a,5225,3060,1559,627,116,490,625,433,152,226022.3048
Dunning,42164,41932,-232,18354,Health Care,Retail Trade,Manufacturing,Education,Public Administration,2148,2029,1961,1626,1539,6268,Health Care,Retail Trade,Administration,Education,Manufacturing,1417,900,860,819,585,Chicago,Elk Grove Village,Des Plaines,Skokie,Franklin Park,9361,456,329,306,258,Chicago,Elmwood Park,Harwood Heights,Des Plaines,Cicero town,3557,81,68,66,64,14526,1.795772057,2378.223495,1013.498011,42.61575976,134.9948337,5.676288793,22.03000252,0.926321793,68.53168611,2.88163355,390.1737675,16.4061018,29.32490843,1.233059403,641.3454779,26.9674183,0.085958485,0.003614399,73.38541411,3.08572404,4.853435074,0.204078174,42405,9126,9476,8474,9370,4058,1901,40.32713289,29642,10439,463,1471,390,42260,35404,24138,21591,2547,11266,191,20938,16319,2078,1879,484,178,30482,25736,6722,3081,3353,2971,2373,2497,897,60369.97319,15172,11281,3891,1070,16242,10542,636,1351,1011,2640,5.935622318,758,3133,7997,4354,n/a,1788,5820,5836,2068,730,1276,7000,2839,166,237288.3025
East Garfield Park,20881,20567,-314,6011,Health Care,Retail Trade,Education,Administration,Accommodation and Food Service,1115,670,609,591,466,2431,Health Care,Administration,Manufacturing,Construction,Wholesale Trade,720,356,252,225,117,Chicago,Oak Park,Melrose Park,Des Plaines,Broadview,3949,81,60,57,55,Chicago,Oak Park,Berwyn,Cicero town,Skokie,1423,35,23,23,22,8764,7.87497127,1236.993489,58.22217529,4.706748726,212.834396,17.20578143,9.440127786,0.763150968,41.3825363,3.345412621,75.73882387,6.122815079,76.82779453,6.21084874,409.9241273,33.13874575,0,0,182.8339024,14.78050645,169.7896056,13.72599024,20696,7207,4515,3795,3234,1401,545,30.07557389,712,518,19240,81,146,19983,15034,7402,5879,1498,7632,267,5542,3259,244,1632,268,140,11802,9321,1612,3431,1507,816,597,322,226,25196.93654,6899,1795,5104,1847,8746,1157,383,2218,2592,2392,5.574557087,920,1237,971,5618,n/a,1938,2562,3008,908,331,702,880,173,40,184882.4786
East Side,23653,23042,-611,7270,Manufacturing,Health Care,Education,Retail Trade,Administration,1053,933,697,683,645,1264,Administration,Retail Trade,Transportation,Accommodation and Food Service,Health Care,251,224,172,164,92,Chicago,South Holland,Lansing,Calumet City,Harvey,4064,117,110,92,67,Chicago,Lansing,Calumet City,South Holland,Oak Lawn,563,28,22,17,12,17325,8.164206433,1907.353119,466.5220215,24.45913223,80.61552939,4.226565525,11.13576959,0.583833663,38.84450871,2.036566188,88.34349728,4.631732655,116.2214356,6.093336069,791.1367683,41.47825383,0,0,191.5231655,10.04130612,123.0104236,6.449273726,23494,7813,5007,4744,3571,1608,750,31.64746601,4146,18557,581,116,94,23484,16954,10592,8835,1758,6361,171,8429,5722,1557,835,315,0,14098,9910,1743,1826,2010,1301,696,626,310,43198.92473,6769,4663,2106,988,7757,4752,210,1759,858,166,6.11515282,72,737,3701,3247,n/a,354,2236,3773,956,437,2885,1557,210,12,130410.1839
Edgewater,62198,56521,-5677,24923,Health Care,Education,Professional,Accommodation and Food Service,Finance,3503,2917,2861,2597,2005,9351,Health Care,Accommodation and Food Service,Retail Trade,Professional,Other Service,3314,1467,1177,581,520,Chicago,Evanston,Skokie,Northbrook,Glenview,17061,1103,454,276,261,Chicago,Skokie,Evanston,Morton Grove,Lincolnwood,5965,260,136,92,80,6724,1.27005272,1109.972072,147.5494054,13.29307368,356.2291811,32.09352649,23.50825623,2.117914208,78.44762837,7.067531726,63.72437228,5.741078885,6.569768369,0.591885916,347.9023435,31.34334206,0,0,80.36423885,7.240203681,5.676878398,0.511443354,55548,8625,16929,13397,10139,4571,1887,37.19270308,29695,9455,7390,6953,2055,52758,49527,34826,31378,3448,14701,1703,29213,10678,2151,13202,2531,651,42587,38577,23039,8406,7285,4792,3113,2836,2307,44299.35012,28739,11079,17660,3379,32118,2134,358,2164,2739,24710,4.140813008,1056,5970,10771,14321,n/a,17965,8641,4218,872,422,2311,4919,2325,1524,232843.1373
Edison Park,11328,11187,-141,5370,Education,Health Care,Public Administration,Retail Trade,Professional,677,657,593,471,400,2723,Administration,Professional,Health Care,Accommodation and Food Service,Manufacturing,1029,345,242,201,150,Chicago,Park Ridge,Niles,Evanston,Skokie,2746,185,156,130,123,Chicago,Park Ridge,Des Plaines,Niles,Skokie,1232,91,63,32,29,13794,1.8859474,726.272722,379.043268,52.19021127,39.67530166,5.462865458,6.920404989,0.952865884,23.64640901,3.255858067,10.75110784,1.480312769,9.081325659,1.250401589,236.6137761,32.57919084,0,0,20.23258069,2.785810354,0.308548035,0.04248377,10735,2151,1931,2516,2335,1085,716,42.97847913,9692,683,0,256,104,10730,8893,5992,5552,440,2901,240,5240,3954,320,630,299,37,8124,7518,3307,569,870,659,803,860,770,80230.38605,4532,3692,839,341,4872,3342,51,85,217,1178,5.984257871,181,564,2872,1256,n/a,512,1613,1699,768,281,196,1364,1708,424,327579.5564
Englewood,40222,30654,-9568,7542,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,1581,830,770,642,635,1783,Health Care,Retail Trade,Education,Accommodation and Food Service,Other Service,984,295,123,73,62,Chicago,Oak Lawn,Bedford Park,Schaumburg,Broadview,4643,70,61,54,53,Chicago,Oak Lawn,Harvey,Tinley Park,Calumet City,1114,21,16,16,15,7315,1.11561644,1966.314639,258.6081504,13.15192112,318.0742048,16.17616013,14.44962405,0.734858184,45.73708946,2.326031071,163.898962,8.335337525,11.6046536,0.590172771,720.45136,36.63967839,0,0,43.64904472,2.219840297,389.8415503,19.8260005,28361,9411,6208,4544,4965,2264,969,30.95780201,188,308,27426,22,417,28224,20904,10241,6603,3588,10663,336,6168,3133,536,2299,179,21,16383,11792,943,5739,2000,1097,359,223,100,19168.25095,9518,2925,6593,4977,14495,3331,347,5275,2337,3194,5.744417178,592,1991,4718,7194,n/a,2606,4610,4892,1495,892,2000,821,91,13,113112.7451
